date,regime_label,prob_high_tpu,prob_nonhigh,p01_entry,p10_exit,tpu_level,log_tpu_z,log_vix_z,vix
2021-02-16,Non-High-TPU,1.0064602775727502e-05,0.9999899353972242,0.0007539768222222565,0.0026827130720274536,567.42,0.2375574909673711,0.17269952941015296,19.97
2021-02-17,Non-High-TPU,1.4505189600352524e-05,0.9999854948103997,0.0012050641263318244,0.003127157984204744,824.88,0.6578032134045387,0.40913880720737444,21.46
2021-02-18,Non-High-TPU,2.4156219250891392e-08,0.9999999758437808,0.0012197730282751383,0.0031395852986120013,178.6,-1.0608492730702472,0.4152574737438862,21.5
2021-02-19,Non-High-TPU,8.343882098667802e-08,0.999999916561179,0.0016354056026537875,0.003455456009338818,278.62,-0.5613456885631347,0.5631735950634743,22.49
2021-02-22,Non-High-TPU,8.683403351004329e-09,0.9999999913165967,0.0014379379109512082,0.00331309879176079,182.34,-1.0375708566088675,0.49825374129684397,22.05
2021-02-23,Non-High-TPU,3.10169754943405e-07,0.999999689830245,0.0021469100413792214,0.003777025702966562,336.54,-0.3492020222162744,0.7005159249619852,23.45
2021-02-24,Non-High-TPU,2.485548707720631e-07,0.9999997514451293,0.0019522035887411982,0.0036614130382654412,294.92,-0.49748374068926254,0.6525277088386672,23.11
2021-02-25,Non-High-TPU,9.375050666145095e-07,0.9999990624949333,0.0011618336890390725,0.0030900319548601645,361.24,-0.2696481673208698,0.3907141440843807,21.34
2021-02-26,Non-High-TPU,3.616400065210834e-06,0.9999963835999347,0.00831984251735738,0.0058858156482395835,510.86,0.119612925160424,1.3859999461419596,28.89
2021-03-01,Non-High-TPU,4.64843938036652e-06,0.9999953515606197,0.006716022475877473,0.005486415723755517,372.28,-0.23583458285907485,1.2773137667911818,27.95
2021-03-02,Non-High-TPU,3.5412107066220746e-07,0.9999996458789293,0.002088014023301407,0.003742825543614958,256.39,-0.6547418402469299,0.6864743523929275,23.35
2021-03-03,Non-High-TPU,1.9472186597917641e-07,0.999999805278134,0.0025649850919116112,0.004003321830306294,227.4,-0.7895180540268373,0.7903520125344464,24.1
2021-03-04,Non-High-TPU,2.8451671493310113e-05,0.9999715483285067,0.004955470363748483,0.0049661435273028985,463.79,0.011036685963309575,1.1232861002845247,26.67
2021-03-05,Non-High-TPU,0.0002014568819864437,0.9997985431180135,0.007741331004554777,0.005748200028787371,658.92,0.40548403753850953,1.3494025836649988,28.57
2021-03-08,Non-High-TPU,0.00033901197143037913,0.9996609880285696,0.0029783550011549813,0.004203846541097334,626.35,0.348544009268511,0.8658272289058957,24.66
