date,regime_label,regime_label_raw,prob_high_tpu,prob_high_tpu_smooth,prob_mid_tpu_smooth,prob_low_tpu_smooth,log_tpu,delta_log_tpu,vix,tpu
2024-05-13,Low-TPU,Low-TPU,3.3231437908126556e-09,4.053319213713657e-08,0.07878677715446594,0.9212131823123284,5.665803656698419,0.6241866249934347,12.55,288.82
2024-05-14,Low-TPU,Low-TPU,2.0336845411588214e-08,4.6138807179192694e-08,0.09418721755534383,0.9058127363058492,5.805255443586835,0.13945178688841597,13.6,332.04
2024-05-15,Low-TPU,Low-TPU,3.5412882141160896e-08,3.9682600889554667e-08,0.1075856597861445,0.8924143005312823,5.7727797905777205,-0.03247565300911415,13.42,321.43
2024-05-16,Low-TPU,Low-TPU,2.6896819421551913e-07,3.981707228223593e-08,0.12230597990753012,0.877693980275455,6.255423692921966,0.4826439023442459,12.45,520.83
2024-05-17,Low-TPU,Low-TPU,8.10025850176392e-09,4.012427812310596e-08,0.1392693724428807,0.8607305874328919,5.41938389452748,-0.8360397983944861,12.42,225.74
2024-05-20,Low-TPU,Low-TPU,5.711273160317535e-08,4.0269683145293306e-08,0.15856903411079035,0.8414309256195688,5.895696762618602,0.4763128680911217,11.99,363.47
2024-05-21,Low-TPU,Low-TPU,3.471961550740451e-09,4.997277306757839e-08,0.18371209248822223,0.8162878575390449,5.319050932934943,-0.5766458296836587,12.15,204.19
2024-05-22,Low-TPU,Low-TPU,1.4082579870161993e-09,4.8700352894192915e-08,0.21010624840695705,0.7898937028927381,5.162211233551045,-0.15683969938389808,11.86,174.55
2024-05-23,Low-TPU,Low-TPU,3.0721981155901187e-09,6.571960583286585e-08,0.24488125317403614,0.7551186811064159,5.297266814911858,0.1350555813608123,12.29,199.79
2024-05-24,Low-TPU,Low-TPU,1.4903581355660588e-09,4.4737751089074954e-08,0.2834455654408689,0.7165543898214192,5.126163938669708,-0.17110287624214937,12.77,168.37
