Date,XLK,XLI,XLY,XLF,XLV,XLE,XLB,XLRE,XLU,XLP,XLC
2019-01-10,21868200,8900400,9520000,48630500,10396800,38335200,16942800,7837200,50916200,32431700,1340500.0
2019-01-11,15451200,10691300,6065200,44961600,7187900,28211800,12372400,3095100,49685000,11732400,1227900.0
2019-01-14,14483800,10105500,5896200,50610600,5449000,26383400,23006400,2918300,46979600,7811500,2344900.0
2019-01-15,28654000,12517400,7533600,59156500,10540600,19642400,15094200,3925000,54186200,11447700,2459700.0
2019-01-16,18937000,12029900,8987800,72982400,8288900,25082200,27437400,7295900,36696400,13484700,20343800.0
2019-01-17,20256800,22922500,8792000,55771300,8731600,20349600,20411000,3397100,41571800,10196400,3311000.0
2019-01-18,27303200,20020200,11596200,58400200,13367500,29063600,17514800,7865600,28309400,11957600,3375800.0
2019-01-22,29985000,15935300,18487400,79651700,12244500,39726400,14866800,8116300,33828800,20877700,4343200.0
2019-01-23,19152200,13243800,12208600,44072000,7722800,46735400,11410000,3087500,28422200,23804700,2540500.0
2019-01-24,28341800,10361800,7930400,25496900,11307000,26098400,10499400,4578000,43848200,17727200,2878700.0
2019-01-25,20061600,13065900,8785600,63140000,7241900,20467200,9834000,3031400,36308200,12920300,3341100.0
2019-01-28,19324800,13144000,11802000,66894900,7113800,24044800,11943600,5276000,28367600,10996700,4328200.0
2019-01-29,17147800,12384000,5764600,29442100,11099200,23768200,16446000,2530000,25237000,11500400,1138100.0
2019-01-30,33990600,16892500,11800400,62076800,11706500,24233000,14146600,5118100,37157800,13934600,2578000.0
